Site,Date,Transect,Start Lat,Start Long,End Lat ,End Long,Transect length (m),Species,Number,
Carmel Point,20240306,1,36.54418,-121.9338,36.54407,-121.93389,20,S. purpuratus,1734,
Carmel Point,20240306,2,36.54407,-121.93389,36.543956,-121.93401,20,S. purpuratus,3827,
Carmel Point,20240306,3,36.54427,-121.93379,36.54412,-121.93385,20,S. purpuratus,2221,
Carmel Point,20240412,4,36.54365,-121.93423,36.54261,-121.93422,20,S. purpuratus,1859,
Carmel Point,20240412,5,36.54358,-121.93423,36.54341,-121.93416,20,S. purpuratus,1054,
Carmel Point,20240412,6,36.54340,-121.93417,36.54329,-121.93403,20,S. purpuratus,270,
Hopkins,20240318,1,36.63752,-121.93015,36.62117,-121.9032,20,S. purpuratus,26,
Hopkins,20240318,2,36.62118,-121.90321,36.62128,-121.90338,20,S. purpuratus,12,
Hopkins,20240318,3,36.62131,-121.90347,36.62143,-121.90333,20,S. purpuratus,2,
Hopkins,20240318,4,36.62115,-121.90322,36.62123,-121.90339,20,S. purpuratus,1,
Hopkins,20240320,5,36.62152,-121.90387,36.62144,-121.90369,20,S. purpuratus,9,
Hopkins,20240320,6,36.62167,-121.90373,36.621499,-121.903614,20,S. purpuratus,2,
Hopkins,20240320,7,36.62172,-121.90382,36.62181,-121.90363,20,S. purpuratus,1,
Pt Pinos,20240221,1,36.80478,-121.7888,36.63801,-121.93687,20,S. purpuratus,64,
Pt Pinos,20240221,2,36.63803,-121.93865,36.63819,-121.193696,20,S. purpuratus,59,
Pt Pinos,20240310,3,36.637988,-121.93697,36.63832,-121.93697,20,S. purpuratus,11,
Pt Pinos,20240221,4,36.63836,-121.93703,36.63845,-121.93719,20,S. purpuratus,189,
Pt Pinos,20240309,5,36.63846,-121.93721,36.63848,-121.93730,20,S. purpuratus,89,
Pt Pinos,20240309,6,36.63846,-121.93745,36.63853,-121.93766,20,S. purpuratus,158,
Cannery Row,20250326,2,36.61372,121.89757,36.61398,121.89764,20,S. purpuratus,18,
Cannery Row,20250326,3,36.61388,121.8976128,36.61398,121.897735,20,S. purpuratus,76,
Cannery Row,20250326,4,36.6141557,-121.8977878,36.61425,-121.89791,20,S. purpuratus,128,
Carmel Point,20250224,1,36.54433,121.93379,36.54415,121.93385,20,S. purpuratus,942,
Carmel Point,20250224,2,36.54412,121.93355,36.63823,-121.93702,20,S. purpuratus,249,
Carmel Point,20250224,3,36.54413,121.9384,36.3238,121.562,20,S. purpuratus,1073,
Carmel Point,20250224,4,36.544167,121.933889,36.54396,121.93372,20,S. purpuratus,1090,
Carmel Point,20250224,6,36.54382,121.93416,36.54365,121.9342,20,S. purpuratus,1268,
Hopkins,20250310,1,36.62128,-121.90348,36.6138,-121.90366,20,S. purpuratus,2,
Hopkins,20250310,2,37.62142,-122.90366,37.62157,-122.90381,20,S. purpuratus,76,
Hopkins,20250226,3,36.62116,-121.90326,36.62126,-121.90342,20,S. purpuratus,72,
Hopkins,20250310,4,36.6213,-121.9034,36.62143,-121.90342,20,S. purpuratus,40,
Hopkins,20250310,5,36.37'18,-121.5413,36.3716,-121.5416,20,S. purpuratus,38,
Pt Pinos,20250212,1,36.63798,-121.93676,36.63808,-121.93689,20,S. purpuratus,72,
Pt Pinos,20250212,2,36.6381,-121.93691,36.63823,-121.93702,20,S. purpuratus,21,
Pt Pinos,20250212,3,36.6383,-121.93702,36.63845,-121.93729,20,S. purpuratus,39,
Pt Pinos,20250324,4,36.63842,-121.9372,36.6385,-121.93733,20,S. purpuratus,105,
Pt Pinos,20250324,5,36.6385,-121.93739,36.638503,-121.937528,20,S. purpuratus,3,
Soberanes,20250501,2,36.452755,-121.929902,36.45286,-121.930042,20,S. purpuratus,165,
Soberanes,20250501,4,36.45246,-121.92991,36.4523314,-121.9300016,20,S. purpuratus,250,
Soberanes,20250501,5,,,,,20,S. purpuratus,450,
Hopkins,20250502,6,36.6217067,-121.9034667,36.6217767,-121.9636226,20,S. purpuratus,47,
Soberanes,20250501,1,36.452894,-121.930014,36.452951,-121.930231,20,S. purpuratus,164,
Soberanes,20250501,3,36.452541,-121.929682,36.452537,-121.929895,20,S. purpuratus,405,
